UNIQUE_WELLBORE_IDENTIFIER,WATER_DEPTH
BR 7-CAM-1031-RN,0.0
BR 7-MLS-115HP-RJS,1186.0
BR 9CP  0697  SE,0.0
BR 3RJS 0159  RJ,114.0
BR 2TQ  0001  MT,0.0
BR 7FZB 0210  CE,0.0
BR 7-SZ-519-SE,0.0
BR 9PKC 0008  SE,0.0
BR 7FP  0018  RN,0.0
BR 7-FU-150D-AL,0.0
BR 7-ARG-772-RN,0.0
BR 7-AB-78H-RJS,437.0
BR 9RO  0006A RJS,1831.0
BR 3RNS 0073A RN,4.0
BR 7-ET-1081D-RN,0.0
BR 7-CAM-1226-RN,0.0
BR 7-MGP-57D-BA,0.0
BR 7ET  0095  RN,0.0
BR 9CP  0850  SE,0.0
BR 7-FBE-59D-BA,0.0
BR 7RI  0011  BA,0.0
BR 7-FAL-38H-ES,0.0
BR 7CR  0020D CES,47.0
BR 7-CRL-5D-PRS,151.0
BR 9PEC 0013  SE,0.0
BR 9-FAL-90DP-ES,0.0
BR 7-ET-890-RN,0.0
BR 7-ET-959-RN,0.0
BR 7CAM 0198  RN,0.0
BR 7CAM 0216  RN,0.0
BR 7GMR 0028A RN,0.0
BR 3BD  0001A RJS,95.0
BR BM-C-7-A-13 B,106.0
BR 1-OGX-94DA-RJS,143.0
BR 8CR  0009D CES,47.0
BR 7I   0041R BA,0.0
BR 7MG  0047R BA,0.0
BR 1-BRSA-1285-AM,0.0
BR 7CON 0018  BA,0.0
BR 7FAV 0101  BA,0.0
BR 1-BRSA-355D-AL,0.0
BR 7ET  0313  RN,0.0
BR 1SRL 0001  ES,0.0
BR 9-FR-13HA-RJS,1154.0
BR 7CP  0251  SE,0.0
BR 7CAM 0405  RN,0.0
BR 7CON 0017  BA,0.0
BR 1DR  0006  RN,0.0
BR 7BA  0236  BA,0.0
BR 7SM  0023  ES,0.0
BR 4RJS 0200  RJ,115.0
BR 7-SCR-84D-RN,0.0
BR 7ET  0522  RN,0.0
BR 4-BRSA-408-ESS,1831.0
BR 1BAS 0074  BA,21.0
BR 1NO  0001  AM,0.0
BR 7-SCR-41D-RN,0.0
BR 7ET  0645  RN,0.0
BR 7-CAM-901-RN,0.0
BR 1-GTE-2-BA,0.0
BR 7SM  0030  ES,0.0
BR 7MJ  0069  BA,0.0
BR 4RJS 0431  RJ,210.0
BR 7-CAM-1152-RN,0.0
BR 7-FP-404-RN,0.0
BR 9-RO-136D-RJS,1719.0
BR 7-CAM-1108-RN,0.0
BR 8-RS-32D-BA,0.0
BR 8DJ  0625  BA,1.8
BR 7-FZB-866-CE,0.0
BR 8FBM 0149  BA,0.0
BR 7FZB 0052  CE,0.0
BR 7AP  0265  RN,0.0
BR 7FZB 0143  CE,0.0
BR 7ET  0282  RN,0.0
BR 7FCN 0030  ES,0.0
BR 7FZB 0297  CE,0.0
BR 7-RP-165-RN,0.0
BR 3-BRSA-116-RN,0.0
BR 9PHRF0003  RN,0.0
BR 7-CP-1539-SE,0.0
BR 7-URG-17D-RJS,1362.0
BR 4-BRSA-401-RJS,1462.0
BR 1ESS 0055  ES,10.0
BR 9-FR-49DP-RJS,1184.0
BR 3-DEV-5DP-RJS,104.0
BR 9VM  0076DPRJS,80.0
BR 7VM  0076HPRJS,80.0
BR 7-BI-14HPB-RJS,116.0
BR 7AT  0005D CES,43.0
BR 7-ET-1200-RN,0.0
BR 9CP  0877  SE,0.0
BR 7AG  0014  BA,0.0
BR 7-PRB-1-ESS,1275.0
BR 7CS  0038D BA,0.0
BR 9-SC-36DP-BA,0.0
BR 7VD  0003HPRJS,568.0
BR 6-BRSA-1237DP-RNS,3.0
BR 7-AG-16DP-SE,0.0
BR 7-BR-53HP-RJS,914.0
BR 8-GLF-14HP-ESS,1339.0
BR 9-ABL-9DA-RJS,1446.0
BR BM-C-7-A-19 T2,106.0
BR 7-RO-144HP-RJS,1738.0
BR 3RNS 0117A RN,22.0
BR 7-RUC-62HP-AM,0.0
BR 7-CRT-21HP-RJS,990.0
BR 3-BRSA-338HP-ES,0.0
BR 7CAM 0487  RN,0.0
BR 9CAM 0200  RN,0.0
BR 7-CP-1767D-SE,0.0
BR 1-BRSA-172-ESS,1426.0
BR 6-BRSA-639-ESS,1430.0
BR 7CP  0087  SE,0.0
BR 7CP  0208  SE,0.0
BR 8A   0017  BA,0.0
BR 7FQ  0044  ES,0.0
BR 7RP  0126  RN,0.0
BR 3FZB 0335  CE,0.0
BR 7TQ  0064  BA,0.0
BR 7-FP-369-RN,0.0
BR 6AGC 0001  BA,0.0
BR 7-AG-14D-SE,0.0
BR 7ET  0141  RN,0.0
BR 7ET  0080  RN,0.0
BR 7-ET-981-RN,0.0
BR 3FAJ 0003D ES,0.0
BR 7-PM-45DP-RJS,108.0
BR 7CP  0520  SE,0.0
BR 7BVS 0045  RN,0.0
BR 7-CAM-1426D-RN,0.0
BR 7CP  0692  SE,0.0
BR 7CP  1328  SE,0.0
BR 1BG  0002  RN,0.0
BR 7FZB 0286  CE,0.0
BR 7-FBM-247D-BA,0.0
BR 7FP  0131  RN,0.0
BR 7-BAZ-8-ESS,1448.0
BR 7ARG 0143  RN,0.0
BR 7-CP-1746-SE,0.0
BR 7FZB 0075  CE,0.0
BR 7NA  0011A RJS,220.0
BR 7C   0012  BA,0.0
BR 7FSL 0029A ES,0.0
BR 7RP  0138  RN,0.0
BR 7CP  0181  SE,0.0
BR 1FPA 0002  ES,0.0
BR 1-QTR-7-RN,0.0
BR 7AP  0117  RN,0.0
BR 7FAV 0088  BA,0.0
BR 7-CAM-1018-RN,0.0
BR 7-ET-1369-RN,0.0
BR 7TQ  0102  BA,0.0
BR 7-FSL-51-ES,0.0
BR 7SP  0019  BA,0.0
BR 7-CL-86D-SE,0.0
BR 7FBE 0034  BA,0.0
BR 9FBMA0001  BA,0.0
BR 7DJ  0141  BA,1.0
BR 7MS  0005  BA,0.0
BR 7-CAM-1300-RN,0.0
BR 3AR  0005  BA,21.0
BR 7BO  0019HPRJS,210.0
BR 7BO  0019WCRJS,210.0
BR 7-CRT-42HP-RJS,1072.0
BR 7-CD-4HA-ES,0.0
BR 1-BG-2DP-SPS,130.5
BR 7-MRL-210HPA-RJS,875.0
BR 7XA  0005D CES,31.5
BR 9-AB-104D-RJS,377.0
BR 7CP  0658  SE,0.0
BR 7-FAV-124D-BA,0.0
BR 3-BRSA-725-RN,0.0
BR BM-C-7-B-19 T2,122.0
BR 7-ET-983-RN,0.0
BR 1CES 0076  CE,37.0
BR 9-MXL-2HP-SPS,469.0
BR 1AD  0001A AM,0.0
BR 8-RO-146HP-RJS,1734.0
BR 7-MLS-117HP-RJS,1299.0
BR 3CES 0031A CE,46.0
BR 7-MLS-177HP-RJS,1462.0
BR 1APS 0033B AP,73.2
BR 1RJS 0181A RJ,115.0
BR 7MRL 0046HARJS,815.0
BR 3-BRSA-1272-SE,0.0
BR 8-CP-1718-SE,0.0
BR 7-GVR-22-MA,0.0
BR 7GMR 0029  RN,0.0
BR 8-RO-567-SE,0.0
BR 9PEI 0009  ES,0.0
BR 4-BRSA-934-ES,0.0
BR 7RS  0010  BA,0.0
BR 7ARG 0154  RN,0.0
BR 7CAM 0291  RN,0.0
BR 7-ARG-515-RN,0.0
BR 7-CP-1510D-SE,0.0
BR 7SCR 0007  RN,0.0
BR 7CP  0952  SE,0.0
BR 1FAV 0001  BA,0.0
BR 4-OGX-62-RJS,105.0
BR 3RJS 0223  RJ,89.0
BR 9MLS 0012  RJS,1311.0
BR 7FZB 0508  CE,0.0
BR 3CON 0011  BA,0.0
BR 7FP  0053  RN,0.0
BR 1FU  0002  BA,0.0
BR 7FAV 0028  BA,0.0
BR 4CES 0014  CE,32.0
BR 6-BRSA-475-ESS,70.0
BR 7FZB 0588  CE,0.0
BR 7RS  0024  BA,0.0
BR 7-CP-1645D-SE,0.0
BR 7AG  0056  BA,0.0
BR 7AR  0287  BA,0.0
BR 7UPN 0020  RN,0.0
BR 7ARG 0440  RN,0.0
BR 7RBU 0058  BA,0.0
BR 7CS  0136  BA,0.0
BR 7ET  0375  RN,0.0
BR 7-FSR-3D-BA,0.0
BR 7CR  0005  CES,45.0
BR 3SZ  0051  SE,0.0
BR 7-MAG-57-RN,0.0
BR 7XA  0008D CES,31.5
BR 7DO  0011D SES,25.9
BR 7DO  0014D SES,25.9
BR 7-JND-61DP-BA,0.0
BR 8-MJ-89DP-BA,0.0
BR 7MO  0002HPRJS,118.0
BR 7-LOR-43HP-RN,0.0
BR 9-FR-14DP-RJS,1154.0
BR 7ARG 0411  RN,0.0
BR 7UPN 0033  RN,0.0
BR 1-BRSA-224-SES,2327.0
BR 7-PIR-234D-AL,0.0
BR 4-BRSA-253-ES,0.0
BR 9LUC 0032D AM,0.0
BR 7CP  0753  SE,0.0
BR 7FZB 0127  CE,0.0
BR 7RO  0091  SE,0.0
BR 7ML  0028  BA,0.0
BR 9-BD-17D-RJS,91.0
BR 7-CAM-891-RN,0.0
BR 9-MLS-186D-RJS,1840.0
BR 7DO  0020D SES,32.0
BR 7CM  0018D SES,14.9
BR 8-MRL-211DA-RJS,836.0
BR 9VD  0005D RJS,584.0
BR 6-REPF-6P-RJS,2667.0
BR 8-SA-1DB-RJS,624.0
BR 4-BRSA-640DA-ES,0.0
BR 1RIP 0001A ES,0.0
BR 7CH  0032D RJS,117.0
BR 7VD  0004WBRJS,573.0
BR 7-RUC-110HP-AM,0.0
BR 7-PIR-187DA-AL,0.0
BR 7-FAL-56HP-ES,0.0
BR 7AG  0022DARNS,14.0
BR 4-BRSA-1008DP-BA,0.0
BR 1GU  0001  SE,0.0
BR 3LSA 0002  ES,0.0
BR 4RJS 0514  RJ,1110.0
BR 7FZB 0235  CE,0.0
BR 3RSM 0005  ES,0.0
BR 2AA  0001  SP,0.0
BR 4JD  0011  RN,0.0
BR 3CES 0103  CE,57.0
BR 1CAP 0001  ES,0.0
BR 7ET  0351  RN,0.0
BR 9-MLS-82-RJS,1812.0
BR 1-OGX-98-MA,0.0
BR 7CP  0092  SE,0.0
BR 4ET  0006  RN,0.0
BR 1RNS 0031  RN,14.7
BR 7AP  0270  RN,0.0
BR 9BVR 0001  RN,0.0
BR 7-MG-494P-BA,0.0
BR 7VM  0058D RJS,80.0
BR 7-LOR-82-RN,0.0
BR 9PEC 0020  SE,0.0
BR 7-ARG-740-RN,0.0
BR 7-ET-1403-RN,0.0
BR 7-CP-1610-SE,0.0
BR 7ARG 0240  RN,0.0
BR 7ARG 0339  RN,0.0
BR 7ET  0033  RN,0.0
BR 8DJIA0007  BA,0.0
BR 4IX  0002  BA,1.0
BR 9GTP 0004  SE,0.0
BR 7CP  0421  SE,0.0
BR 7-ET-1178D-RN,0.0
BR 4EP  0011  BA,0.0
BR 7CAM 0667  RN,0.0
BR 7BSU 0006D BA,0.0
BR 7CP  0337  SE,0.0
BR 7DJ  0527  BA,2.6
BR 7XA  0010D CES,31.5
BR 7XA  0013D CES,31.5
BR 7XA  0034HPCES,31.5
BR 7C   0167D BA,4.5
BR 9-POL-27DP-RJS,104.0
BR 9-POL-28DP-RJS,104.0
BR 7-FR-15HP-RJS,1154.0
BR 7CRP 0063WARJS,87.0
BR 7-BR-73HPA-RJS,1046.0
BR 7GA  0017D SES,30.0
BR 3GA  0020D SES,30.0
BR 7AG  0262  BA,0.0
BR 9-MLS-101D-RJS,1625.0
BR 7BAL 0017  RN,0.0
BR 9FBMA0020  BA,0.0
BR 8-AR-348DP-BA,0.0
BR 7-BR-71-RN,0.0
BR 7CRP 0045D RJS,87.0
BR 7SA  0009  BA,0.0
BR 1NSM 0001  RN,0.0
BR 1RJS 0127  RJ,53.0
BR 7BA  0013  BA,0.0
BR 7-CAM-959D-RN,0.0
BR 1UBZ 0001  RN,0.0
BR 7GO  0011  BA,0.0
BR 7FBM 0147  BA,0.0
BR 7FZB 0447  CE,0.0
BR 1RJS 0241A RJ,80.0
BR 7-FP-406-RN,0.0
BR 7AR  0288  BA,0.0
BR 9CP  1013  SE,0.0
BR 4RJS 0419DARJ,307.0
BR 4-BRSA-569D-BA,0.0
BR 7I   0011  BA,0.0
BR 4CX  0004  BA,0.0
BR 7-BA-402D-BA,0.0
BR 7-LPX-11DA-RN,0.0
BR 7BR  0015  RN,0.0
BR 8-BAZ-5-ESS,1321.0
BR 8DJ  0521  BA,2.1
BR 7ET  0701  RN,0.0
BR 7-ET-1056D-RN,0.0
BR 7CRP 0052D RJS,87.0
BR 7-ET-928-RN,0.0
BR 4CM  0088  SES,27.0
BR 7AG  0347  BA,0.0
BR 7-FZB-690-CE,0.0
BR 7LPS 0002  BA,0.0
BR 7-NO-7H-ES,0.0
BR 1RD  0001  ES,0.0
BR 7-FZB-789-CE,0.0
BR 2SOL 0002  BA,0.0
BR 8-NAU-5H-ESS,1574.0
BR 7C   0118  BA,0.0
BR 7-MP-28D-BA,0.0
BR 7RPO 0007  ES,0.0
BR 7SE  0022  RN,0.0
BR 7MGP 0036D BA,0.0
BR 4LS  0007  ES,0.0
BR 7JA  0019  BA,0.0
BR 3LUC 0015  AM,0.0
BR 9-JUB-10-ESS,1269.0
BR 7ARG 0479  RN,0.0
BR 1-BP-1A-APS,1641.0
BR 6-BRSA-806-RJS,1033.0
BR 7VL  0003D RJS,123.0
BR 7DJ  0543  BA,1.7
BR 7-CAM-1338-RN,0.0
BR 7CP  0052  SE,0.0
BR 5DJR 0002  BA,1.8
BR 7FZB 0450  CE,0.0
BR 7-ET-1254D-RN,0.0
BR 7ARG 0136  RN,0.0
BR 8-SZ-451D-SE,0.0
BR 7-MG-477D-BA,0.0
BR 7-CP-1927D-SE,0.0
BR 4-BRSA-189A-SES,1164.0
BR 7CP  0147A SE,0.0
BR 7UB  0092D RNS,13.0
BR 7LUC 0041HPAM,0.0
BR BM-C-7-A-14 T2,106.0
BR 7-MRL-185HPA-RJS,670.0
BR 7-RUC-46DP-AM,0.0
BR 9-FAL-23DP-ES,0.0
BR 7AB  0044DPRJS,532.0
BR 1APS 0051A AP,438.0
BR 7GA  0037D SES,24.0
BR 7GA  0042D SES,24.0
BR 9-ABL-12DA-RJS,1163.0
BR 9-ABL-3B-RJS,1196.0
BR 7DJ  0712  BA,1.5
BR 3RJS 0361D RJ,276.0
BR 1-BRSA-980-PRS,240.0
BR 7ET  0453  RN,0.0
BR 7RPJ 0035  BA,0.0
BR 1JZ  0002  RN,0.0
BR 7ET  0656  RN,0.0
BR 9CP  1437  SE,0.0
BR 7CP  1068  SE,0.0
BR 7RP  0038D ES,0.0
BR 7-ARG-733-RN,0.0
BR 7-FU-145D-AL,0.0
BR 9CP  0610  SE,0.0
BR 1RJS 0358  RJ,1393.0
BR 7FP  0174  RN,0.0
BR 7TQ  0170  BA,0.0
BR 1RIC 0001D BA,0.0
BR 1RJS 0097A RJ,47.8
BR 7-SA-3HPA-RJS,624.0
BR 7-CNC-20-ES,0.0
BR 7RS  0021  BA,0.0
BR 7MG  0234  BA,0.0
BR 7-RBU-94D-BA,0.0
BR 1I   0002  BA,0.0
BR 7FBM 0194  BA,0.0
BR 9MMA 0001  BA,0.0
BR 7DJ  0046  BA,0.0
BR 3DJ  0228  BA,16.0
BR 7DO  0010D SES,25.9
BR 7MG  0028  BA,0.0
BR 9CP  0906  SE,0.0
BR 2LAC 0001  AM,0.0
BR 7-JND-35D-BA,0.0
BR 7-BJ-8HA-RJS,772.0
BR 7TQ  0026  BA,0.0
BR 7AG  0039  BA,0.0
BR 8FI  0056  BA,0.0
BR 7-RO-501D-SE,0.0
BR 9CP  0864  SE,0.0
BR 7-ARG-731-RN,0.0
BR 7ET  0113  RN,0.0
BR 1SCR 0001  RN,0.0
BR 7SZ  0081  SE,0.0
BR 7SE  0042  RN,0.0
BR 7-ET-1323D-RN,0.0
BR 7-RP-172-RN,0.0
BR 7SZ  0303  SE,0.0
BR 3IP  0002  AM,0.0
BR 7AP  0066  RN,0.0
BR 7MAG 0011  RN,0.0
BR 9FRC 0001  RN,0.0
BR 7BA  0141  BA,0.0
BR 1-BRSA-516D-RN,0.0
BR 7-FZB-673-CE,0.0
BR 7RI  0068  ES,0.0
BR 1RUC 0001  AM,0.0
BR 7-ABL-4HPA-RJS,1196.0
BR 7-RO-112HA-RJS,1816.0
BR 7-ARG-703-RN,0.0
BR 7-FP-45D-BA,0.0
BR 7SE  0028  RN,0.0
BR 7BA  0326  BA,0.0
BR 4-BRSA-896A-RJS,479.0
BR 1RP  0001  BA,0.0
BR 7CP  0210D SE,0.0
BR 9-PPT-23D-RJS,1181.0
BR 9-LL-7-RJS,2131.0
BR 7RFQ 0008  RN,0.0
BR 9RPJA0006  BA,0.0
BR 1-BRSA-1009-RN,0.0
BR 7FBM 0004  BA,0.0
BR 7CP  1078  SE,0.0
BR 3BR  0007  RJS,1015.0
BR 1SES 0099D SE,11.0
BR 3CG  0001DARJS,402.0
BR 7CG  0002HPRJS,402.0
BR 9CG  0003DPRJS,402.0
BR 8-ABL-52HP-RJS,1322.0
BR 7LUC 0031HPAM,0.0
BR 1-BRSA-41-ES,0.0
BR 7RCB 0037  BA,0.0
BR 7TQ  0006  BA,0.0
BR 8-MLS-127HP-RJS,1338.5
BR 7AB  0030D RJS,600.0
BR 7-AR-324DP-BA,0.0
BR 9PEC 0060A SE,0.0
BR 7-URG-6HP-RJS,1359.0
BR 9-TVD-4DP-RJS,
BR 8CP  0549D SE,0.0
BR 1-MRK-2B-SPS,101.5
BR 8MA  0020DARJS,311.0
BR 7-PM-43HA-RJS,171.0
BR 7CM  0009D SES,13.5
BR 7-ARG-677-RN,0.0
BR 3RI  0018  BA,0.0
BR 8SZ  0106  SE,0.0
BR 3TQ  0049  BA,0.0
BR 7FP  0028  RN,0.0
BR 7ET  0219  RN,0.0
BR 7FP  0093  RN,0.0
BR 7-ET-817-RN,0.0
BR 7-CAM-1268-RN,0.0
BR 7FZB 0281  CE,0.0
BR 7-RFQ-47D-RN,0.0
BR 9-ABL-41D-RJS,1467.0
BR 7BA  0058  BA,0.0
BR 9ET  0738  RN,0.0
BR 7AG  0280  BA,0.0
BR 8MG  0198  BA,0.0
BR 7RO  0093  BA,0.0
BR 7ET  0419  RN,0.0
BR 7LP  0015  ES,0.0
BR 7BAL 0032  RN,0.0
BR 7ET  0459  RN,0.0
BR 7TA  0003  BA,0.0
BR 8AR  0188  BA,0.0
BR 7RO  0059  BA,0.0
BR 8RO  0391  SE,0.0
BR 1RNS 0136  RN,7.0
BR 7DJ  0060  BA,0.0
BR 8CAM 0706D RN,0.0
BR 7RI  0046  ES,0.0
BR 7CM  0089D SES,23.0
BR 7ARG 0389  RN,0.0
BR 7DJ  0215R BA,1.6
BR 7ET  0508  RN,0.0
BR 7BA  0200  BA,0.0
BR 7-FZB-856-CE,0.0
BR 7MJ  0066  BA,0.0
BR 7CS  0170  BA,0.0
BR 7CP  0917  SE,0.0
BR 2LC  0001A MS,0.0
BR 7FZB 0279A CE,0.0
BR 7-JUB-16HP-ESS,1299.0
BR 7GA  0032D SES,26.0
BR 1BP  0004D BA,0.0
BR 1-APL-2DA-ESS,1496.0
BR 7EP  0002D CES,35.0
BR 3-BRSA-327DP-SE,0.0
BR 7-AB-89HA-RJS,927.0
BR 7GP  0014DARJS,121.0
BR 9PAF 0002R MA,0.0
BR 7-RO-695D-SE,0.0
BR 7CP  0187  SE,0.0
BR 7SZ  0139  SE,0.0
BR 1-REPF-3D-SPS,161.2
BR 9-MA-26D-RJS,720.0
BR 1VRG 0001D RN,0.0
BR 3CES 0039B CE,58.5
BR 7-FR-26HP-RJS,1183.0
BR 7CP  0113A SE,0.0
BR 7UB  0094D RNS,13.0
BR 7LUC 0022DPAM,0.0
BR 9-FR-22DP-RJS,1181.9
BR 3BAS 0087D BA,19.0
BR 6-OGX-27P-RJS,106.5
BR 7FZB 0071A CE,0.0
BR 7-IBU-8-ES,0.0
BR 7C   0003  BA,0.0
BR 1CES 0142  CE,13.0
BR 1RAP 0003  RN,0.0
BR 7RI  0025  ES,0.0
BR 7FZB 0195  CE,0.0
BR 7AG  0093  BA,0.0
BR 8-BUZ-5-RJS,1938.0
BR 7MJ  0026  BA,0.0
BR 7-RO-44HP-RJS,1854.0
BR 4ATS 0016A SE,0.0
BR 1-BRSA-219-ESS,2050.0
BR 1-BRSA-67-ESS,1275.0
BR 7AG  0089  BA,0.0
BR 9GTP 0048  SE,0.0
BR 7-GLF-28H-ESS,1583.0
BR 7DJ  0718  BA,1.5
BR 1-BRSA-71-RJS,2460.0
BR 7SI  0027  BA,0.0
BR 7RP  0112  RN,0.0
BR 1-WW-2-BA,0.0
BR 7-CAM-1260-RN,0.0
BR 7FAV 0032  BA,0.0
BR 7AP  0060  RN,0.0
BR 7-GVB-5D-MA,0.0
BR 7LS  0029  ES,0.0
BR 7MGN 0010  BA,0.0
BR 9-BR-72D-RJS,1046.0
BR 7DJ  0379  BA,1.0
BR 3SES 0049  SE,11.0
BR 7-FZB-719-CE,0.0
BR 7FZB 0528  CE,0.0
BR 7SCX 0003  BA,0.0
BR 7FBE 0016  BA,0.0
BR 3SA  0002  BA,0.0
BR 7SZ  0124  SE,0.0
BR 9CP  0685  SE,0.0
BR 7-GVR-3D-MA,0.0
BR 9CP  1061  SE,0.0
BR 7MG  0010  SE,0.0
BR 1-ELPS-14B-SPS,159.0
BR 7-ET-1338D-RN,0.0
BR 1CM  0001  ES,0.0
BR 7-FAL-86HB-ES,0.0
BR 9RBUA0007  BA,0.0
BR 7FP  0050  RN,0.0
BR 7-CAM-963-RN,0.0
BR 2SO  0001  BA,0.0
BR 7-SZ-402DA-SE,0.0
BR 7PML 0024DPRN,0.0
BR 9FZB 0329A CE,0.0
BR 7-FAL-65HA-ES,0.0
BR 7CH  0042DPRJS,142.0
BR 1-ALV-4DP-BA,0.0
BR 6-BRSA-1051A-ES,0.0
BR 7-BJ-24HP-RJS,770.0
BR 6-BRSA-963DA-RJS,1828.0
BR 9CL  0020B SE,0.0
BR 6-WW-10DP-BA,0.0
BR 8MRL 0108HPRJS,814.0
BR 7-DJ-825DP-BA,0.0
BR 7AB  0050DBRJS,370.0
BR 8-CP-1772D-SE,0.0
BR 7-MRL-187HP-RJS,682.0
BR 7RO  0023  BA,0.0
BR 7AR  0105  BA,0.0
BR 7-AB-103HP-RJS,626.0
BR 7VM  0070HPRJS,80.0
BR 7-BR-44HP-RJS,799.0
BR 7UPN 0038P RN,0.0
BR 1ML  0001A MA,0.0
BR 1-GTE-7HPC-BA,0.0
BR 1PAS 0018A PA,72.0
BR 7UB  0102DARNS,13.0
BR 3PDM 0003D SE,0.0
BR 4QEX 0004  BA,0.0
BR 7BI  0009  ES,0.0
BR 7SZ  0024A SE,0.0
BR 7SZ  0222  SE,0.0
BR 7-CP-1804-SE,0.0
BR 7VR  0010  RN,0.0
BR 7SZ  0117  SE,0.0
BR 7ET  0178  RN,0.0
BR 7FP  0139  RN,0.0
BR 7DJ  0162  BA,1.0
BR 7CP  1155  SE,0.0
BR 7FZB 0045  CE,0.0
BR 7TQ  0030  BA,0.0
BR 7-ARG-586-RN,0.0
BR 1CJ  0002  BA,0.0
BR 7QE  0016  BA,0.0
BR 7C   0168  BA,0.0
BR 9CPB 0003  BA,0.0
BR 7ROU 0024D BA,0.0
BR 7AR  0118  BA,0.0
BR 7DJ  0477  BA,2.0
BR 9QEAG0002  BA,0.0
BR 7SZ  0328  SE,0.0
BR 7CP  1081  SE,0.0
BR 7PL  0054  RN,0.0
BR 7-PIR-265D-AL,0.0
BR 7AR  0043  BA,0.0
BR 7-CAM-1413D-RN,0.0
BR 7RMO 0007  RN,0.0
BR 7-RO-25D-RJS,1843.0
BR 3CAM 0390  RN,0.0
BR 9CM  0001  RN,0.0
BR 1RNS 0028  RN,18.0
BR 9-MLS-36D-RJS,900.0
BR 7-AR-314D-BA,0.0
BR 3CES 0039  CE,58.5
BR 7AG  0351  BA,0.0
BR 1PA  0001  SP,0.0
BR 8CP  0827  SE,0.0
BR 3-PRG-1DA-RJS,114.0
BR 1BAS 0082  BA,38.0
BR 7FP  0200H RN,0.0
BR 7AGB 0010  BA,0.0
BR 1FAV 0004  BA,0.0
BR 7CM  0053  SES,20.0
BR 2OL  0001  SP,0.0
BR 7FBM 0193  BA,0.0
BR 7CN  0062D RN,0.0
BR 7RUC 0042HPAM,0.0
BR BM-C-7-B-3 Y2,122.0
BR 9-MLS-86A-RJS,1184.0
BR 8-MLL-16HPC-RJS,1037.0
BR 7-BI-17HPA-RJS,129.0
BR 9VM  0074DPRJS,80.0
BR 9VM  0074PARJS,80.0
BR 7-CRT-26HP-RJS,958.0
BR 7CM  0014D SES,13.5
BR 7-MRL-190HP-RJS,748.0
BR 3RNS 0090D RN,17.0
BR 3-BRSA-1066DP-BA,0.0
BR 3-BRSA-1089DP-BA,0.0
BR 7CP  1297H SE,0.0
BR 1MAS 0027A MA,74.0
BR 7XA  0029D CES,30.0
BR 7-CIO-3HP-RNS,6.4
BR 7LUC 0039HPAM,0.0
BR 9-PPT-43DP-RJS,1376.0
BR 7-CNC-32-ES,0.0
BR 7-POL-32HP-RJS,104.0
BR 7UB  0065DARNS,13.0
BR 7BG  0004DARJS,117.0
BR 7-MRL-215HP-RJS,949.0
BR 1CES 0066DACE,44.0
BR 7AB  0057HARJS,296.0
BR 7-CRT-40HP-RJS,1084.0
BR 7-CMN-4HPA-ESS,461.0
BR 3CES 0059D CE,35.0
BR 7FBE 0011  BA,0.0
BR 7-FZB-701-CE,0.0
BR 9-FAL-59DB-ES,0.0
BR 7AG  0075  BA,0.0
BR 7FZB 0604  CE,0.0
BR 7-FSL-63-ES,0.0
BR 7RO  0073  SE,0.0
BR 7AG  0205  BA,0.0
BR 7AP  0244  RN,0.0
BR 3-BRSA-226-RN,0.0
BR 7AP  0013  RN,0.0
BR 7RSM 0052  ES,0.0
BR 7-ET-1303-RN,0.0
BR 4RJS 0121  RJ,178.0
BR 7BA  0031  BA,0.0
BR 7-ARG-551-RN,0.0
BR 9-LL-6A-RJS,2246.0
BR 7FSJ 0026H ES,0.0
BR 9-AB-67-RJS,1029.0
BR 4NI  0004  BA,0.0
BR 9CL  0025  SE,0.0
BR 7DJ  0082  BA,0.0
BR 7ET  0383  RN,0.0
BR 9-CRT-33D-RJS,962.0
BR 1SJ  0005  MA,0.0
BR 9PEI 0017  ES,0.0
BR 7C   0142  BA,0.0
BR 7-CAM-946-RN,0.0
BR 7SM  0005  ES,0.0
BR 7FI  0074  BA,0.0
BR 8DJ  0371  BA,7.0
BR 4-BRSA-123-BA,0.0
BR 7SZ  0332  SE,0.0
BR 7ET  0245  RN,0.0
BR 7SA  0029  BA,0.0
BR 4-BRSA-1014D-BA,0.0
BR 7EN  0040D RJS,115.0
BR 7SG  0013  BA,0.0
BR 3-BRSA-1233-ESS,1320.0
BR 7SM  0073  ES,0.0
BR 7-ET-1478-RN,0.0
BR 7PM  0037D RJS,108.0
BR 9CP  0793  SE,0.0
BR 1GA  0004  RN,0.0
BR 7AR  0155  BA,0.0
BR 7RP  0069  RN,0.0
BR 4-BRSA-204DA-RJS,513.0
BR 7-FP-297-RN,0.0
BR 3-BRSA-891-RJS,2279.0
BR 7SM  0070  ES,0.0
BR 7CS  0153  BA,0.0
BR 7-CP-1682-SE,0.0
BR 7ET  0536  RN,0.0
BR 4PAS 0016  PA,43.0
BR 3CX  0061  BA,0.0
BR 7-CAM-915-RN,0.0
BR 3CRP 0006  RJS,85.0
BR 4RNS 0099  RN,22.0
BR 9FBMA0004  BA,0.0
BR 7MJ  0018  BA,0.0
BR 3-BRSA-651-RN,0.0
BR 7CG  0003  ES,0.0
BR 3PDR 0003  BA,0.0
BR 4-PTRA-23-MG,0.0
BR 7PJ  0011  RN,0.0
BR 7TQ  0167  BA,0.0
